X	Y	T	NASA ERBE ALL clear-sky albedo
degree_east	degree_north	months since 1960-01-01	percent
    48.75000    	    63.75000    	    322.5000    	    67.50000    
    51.25000    	    63.75000    	    322.5000    	    68.90000    
    53.75000    	    63.75000    	    322.5000    	    65.40000    
    56.25000    	    63.75000    	    322.5000    	    64.60000    
    58.75000    	    63.75000    	    322.5000    	    63.20000    
    61.25000    	    63.75000    	    322.5000    	    56.60000    
    63.75000    	    63.75000    	    322.5000    	    52.30000    
    66.25000    	    63.75000    	    322.5000    	    56.60000    
    68.75000    	    63.75000    	    322.5000    	    58.90000    
    71.25000    	    63.75000    	    322.5000    	    63.50000    
    73.75000    	    63.75000    	    322.5000    	    67.40000    
    76.25000    	    63.75000    	    322.5000    	    69.00000    
    78.75000    	    63.75000    	    322.5000    	    69.00000    
    81.25000    	    63.75000    	    322.5000    	    67.20000    
    83.75000    	    63.75000    	    322.5000    	    66.00000    
    86.25000    	    63.75000    	    322.5000    	    64.00000    
    88.75000    	    63.75000    	    322.5000    	    61.80000    
    91.25000    	    63.75000    	    322.5000    	    59.60000    
    93.75000    	    63.75000    	    322.5000    	    59.90000    
    96.25000    	    63.75000    	    322.5000    	    57.10000    
    98.75000    	    63.75000    	    322.5000    	    55.10000    
    101.2500    	    63.75000    	    322.5000    	    48.10000    
    103.7500    	    63.75000    	    322.5000    	    48.20000    
    106.2500    	    63.75000    	    322.5000    	    49.00000    
    108.7500    	    63.75000    	    322.5000    	    48.30000    
    111.2500    	    63.75000    	    322.5000    	    48.30000    
    113.7500    	    63.75000    	    322.5000    	    47.30000    
    116.2500    	    63.75000    	    322.5000    	    43.20000    
    118.7500    	    63.75000    	    322.5000    	    43.50000    
    121.2500    	    63.75000    	    322.5000    	    44.60000    
    123.7500    	    63.75000    	    322.5000    	    46.30000    
    126.2500    	    63.75000    	    322.5000    	    45.20000    
    128.7500    	    63.75000    	    322.5000    	    44.60000    
    131.2500    	    63.75000    	    322.5000    	    48.60000    
    133.7500    	    63.75000    	    322.5000    	    49.90000    
    136.2500    	    63.75000    	    322.5000    	    50.80000    
    138.7500    	    63.75000    	    322.5000    	    53.80000    
    141.2500    	    63.75000    	    322.5000    	    55.70000    
    143.7500    	    63.75000    	    322.5000    	    58.70000    
    146.2500    	    63.75000    	    322.5000    	    62.00000    
    148.7500    	    63.75000    	    322.5000    	    60.70000    
    151.2500    	    63.75000    	    322.5000    	    58.60000    
    153.7500    	    63.75000    	    322.5000    	    57.80000    
    156.2500    	    63.75000    	    322.5000    	    58.00000    
    158.7500    	    63.75000    	    322.5000    	    62.90000    
